City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Tuatapere,NZ,2021-02-07 20:20:12,-46.1333,167.6833,59.99,70,100,6.62,overcast clouds
249,Gigmoto,PH,2021-02-07 20:20:54,13.7796,124.39,78.49,83,100,16.22,overcast clouds
250,Richards Bay,ZA,2021-02-07 20:20:54,-28.783,32.0377,74.97,90,81,2.86,broken clouds
251,Cheney,US,2021-02-07 20:20:54,47.4874,-117.5758,34.0,55,90,10.36,light snow
252,Margate,GB,2021-02-07 20:20:43,51.3813,1.3862,30.99,85,100,7.0,light snow
253,Nanortalik,GL,2021-02-07 20:18:02,60.1432,-45.2371,28.83,89,84,12.66,broken clouds
254,Bani Walid,LY,2021-02-07 20:20:55,31.7566,13.9942,70.88,21,83,13.38,broken clouds
255,Kamenka,RU,2021-02-07 20:20:13,51.3223,42.7678,-6.5,91,17,9.86,few clouds
256,Vicuna,CL,2021-02-07 20:20:55,-30.0319,-70.7081,82.99,31,0,1.01,clear sky
257,Santa Ines,BR,2021-02-07 20:20:55,-3.6667,-45.38,88.14,66,53,1.7,broken clouds
258,Praya,CV,2021-02-07 20:20:55,14.9215,-23.5087,69.8,64,40,21.85,scattered clouds
259,Hofn,IS,2021-02-07 20:20:56,64.2539,-15.2082,35.85,92,100,19.06,moderate rain
260,Shimoda,JP,2021-02-07 20:20:56,34.6667,138.95,39.0,60,0,22.15,clear sky
