City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Guerrero Negro,MX,76.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
516,Caruaru,BR,83.61,scattered clouds,-8.2833,-35.9761,Caruaru Park Hotel
518,Yulara,AU,73.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
525,Cockburn Town,TC,80.6,few clouds,21.4612,-71.1419,Osprey Beach Hotel
527,Corn Island,NI,80.13,scattered clouds,12.1694,-83.0418,Big Fish Guest House
528,Mopipi,BW,72.14,light rain,-21.1833,24.8833,
530,Panguna,PG,69.78,clear sky,-6.3164,155.4848,
534,Atambua,ID,74.61,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
535,Kangaba,ML,80.4,overcast clouds,11.9333,-8.4167,Hôtel Mandé
536,Barra Patuca,HN,83.01,clear sky,15.8,-84.2833,
538,Mitsamiouli,KM,83.7,overcast clouds,-11.3847,43.2844,Foyer ADM
539,Olinda,BR,80.6,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
541,Neiafu,TO,78.8,moderate rain,-18.65,-173.9833,Mystic Sands
545,Karratha,AU,77.95,clear sky,-20.7377,116.8463,ibis Styles Karratha
546,Saint-Pierre,RE,80.6,clear sky,-21.3393,55.4781,Lindsey Hôtel
548,Weligama,LK,75.36,few clouds,5.9667,80.4167,Weligama Bay Resort
549,Estacion Coahuila,MX,77.0,clear sky,32.1939,-115.0017,Apartamentos Julissa
553,Ilesha,NG,80.13,overcast clouds,7.1371,5.2583,Tosap Guest House
555,Mazatlan,MX,75.2,few clouds,23.2167,-106.4167,Gaviana Resort
558,Zinder,NE,68.97,clear sky,13.8072,8.9881,Hotel de Ville
560,Sulangan,PH,80.62,moderate rain,11.1373,123.7228,Maia's Beach Resort
563,Kununurra,AU,78.8,overcast clouds,-15.7667,128.7333,Hotel Kununurra
568,Tucuma,BR,80.89,overcast clouds,-0.1833,-50.05,
572,Touros,BR,84.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
574,Lahat,ID,72.07,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
576,Vazante,BR,74.23,light rain,-17.9869,-46.9078,Hotel Pousada e Restaurante
577,Bindi,SL,81.32,broken clouds,9.9167,-11.45,
585,Kidal,ML,73.94,overcast clouds,18.4411,1.4078,
586,Kupang,ID,79.63,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
587,Doha,QA,68.0,clear sky,25.2867,51.5333,Doha Marriott Hotel
588,Port-Gentil,GA,78.8,light rain,-0.7193,8.7815,Fengshui Residence
590,Poum,NC,79.21,overcast clouds,-20.2333,164.0167,Gîte kajeon
592,Boa Vista,BR,84.2,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
594,Nuevo Progreso,MX,79.0,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
595,Hambantota,LK,77.31,clear sky,6.1241,81.1185,Bungalow 63
597,Pinar Del Rio,CU,83.52,scattered clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
599,America Dourada,BR,82.85,overcast clouds,-11.4553,-41.4361,Pousada do Ninho
602,Lae,PG,73.4,few clouds,-6.7221,146.9847,Phils Hotel
608,Ugoofaaru,MV,81.36,few clouds,5.6667,73.0,Ungoofaaru Inn
