City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,San Policarpo,PH,2021-02-07 14:18:48,12.1791,125.5072,80.56,84,100,18.39
131,Gisborne,NZ,2021-02-07 14:18:48,-38.6533,178.0042,54.0,95,53,1.01
132,Ahipara,NZ,2021-02-07 14:18:48,-35.1667,173.1667,59.49,88,75,5.44
133,Port Alfred,ZA,2021-02-07 14:18:48,-33.5906,26.891,70.0,90,16,1.99
134,Alofi,NU,2021-02-07 14:18:48,-19.0595,-169.9187,77.0,94,90,4.61
135,Waingapu,ID,2021-02-07 14:18:48,-9.6567,120.2641,79.02,81,91,5.35
136,Kodiak,US,2021-02-07 14:18:49,57.79,-152.4072,26.6,68,20,5.75
137,Kruisfontein,ZA,2021-02-07 14:18:49,-34.0033,24.7314,72.0,78,100,7.0
138,Hofn,IS,2021-02-07 14:18:49,64.2539,-15.2082,33.8,93,75,4.61
139,Sitka,US,2021-02-07 14:18:49,57.0531,-135.33,30.2,59,90,5.75
140,Lentvaris,LT,2021-02-07 14:18:49,54.65,25.05,9.0,85,33,1.14
141,Longyearbyen,SJ,2021-02-07 14:18:49,78.2186,15.6401,17.6,73,90,17.27
142,Manavalakurichi,IN,2021-02-07 14:18:49,8.1333,77.3,86.0,62,20,5.55
143,Pevek,RU,2021-02-07 14:18:50,69.7008,170.3133,-7.83,87,0,2.06
144,Broomall,US,2021-02-07 14:14:14,39.9815,-75.3566,34.0,93,90,8.05
145,Touros,BR,2021-02-07 14:18:50,-5.1989,-35.4608,87.8,58,75,16.11
146,Along,IN,2021-02-07 14:18:50,28.1667,94.7667,56.5,54,0,1.59
147,Laguna,US,2021-02-07 14:18:50,38.421,-121.4238,42.8,81,1,4.99
148,Tokat,TR,2021-02-07 14:18:50,40.4167,36.5833,45.73,57,83,4.65
149,Villablino,ES,2021-02-07 14:18:50,42.9393,-6.3194,37.99,99,100,5.35
150,Khatanga,RU,2021-02-07 14:18:50,71.9667,102.5,-31.76,79,0,9.22
151,East London,ZA,2021-02-07 14:18:50,-33.0153,27.9116,75.2,73,0,13.8
152,Sept-Iles,CA,2021-02-07 14:18:51,50.2001,-66.3821,19.99,58,0,11.5
153,Lebu,CL,2021-02-07 14:17:06,-37.6167,-73.65,61.38,82,83,3.27
154,Mandalgovi,MN,2021-02-07 14:18:51,45.7625,106.2708,13.28,80,0,9.13
155,Bilwang,PH,2021-02-07 14:18:51,10.8834,124.4667,79.95,81,100,9.66
156,La Malbaie,CA,2021-02-07 14:18:51,47.6575,-70.1559,17.6,57,85,1.14
157,Morgan City,US,2021-02-07 14:18:51,29.6994,-91.2068,50.0,81,90,10.36
158,Adre,TD,2021-02-07 14:18:51,13.4667,22.2,87.57,10,0,11.63
159,Honiara,SB,2021-02-07 14:18:51,-9.4333,159.95,78.28,81,100,5.77
160,Viedma,AR,2021-02-07 14:18:52,-40.8135,-62.9967,64.0,68,50,20.65
161,Madinat Sittah Uktubar,EG,2021-02-07 14:18:52,29.8167,31.05,73.4,40,0,8.05
162,Ayr,GB,2021-02-07 14:18:52,55.4627,-4.6339,35.6,60,75,13.8
163,Narsaq,GL,2021-02-07 14:18:52,60.9167,-46.05,39.2,33,20,47.18
164,Trat,TH,2021-02-07 14:18:52,12.5,102.5,75.2,76,56,2.3
165,Shache,CN,2021-02-07 14:16:08,38.4167,77.2406,37.49,65,15,4.32
166,Katete,UG,2021-02-07 14:18:52,-0.7818,29.7544,85.6,24,13,6.08
167,Komsomolskiy,UZ,2021-02-07 14:18:52,40.4272,71.7189,46.45,79,100,8.03
168,Cockburn Town,TC,2021-02-07 14:18:52,21.4612,-71.1419,77.83,80,4,21.39
169,Assiniboia,CA,2021-02-07 14:18:53,49.6334,-105.9845,-23.8,69,99,5.75
170,Nikki,BJ,2021-02-07 14:18:53,9.9401,3.2108,100.69,9,93,5.37
171,Poum,NC,2021-02-07 14:18:53,-20.2333,164.0167,79.93,70,90,2.84
172,Yar-Sale,RU,2021-02-07 14:18:53,66.8333,70.8333,-11.29,90,100,25.08
173,Santa Maria,BR,2021-02-07 14:18:53,-29.6842,-53.8069,80.28,49,0,4.92
174,Dubrovnik,HR,2021-02-07 14:18:53,42.6481,18.0922,60.8,55,75,29.93
175,Gobabis,NA,2021-02-07 14:18:53,-22.45,18.9667,84.79,34,75,17.74
176,Esperance,AU,2021-02-07 14:18:53,-33.8667,121.9,64.4,82,90,16.11
177,Shelburne,CA,2021-02-07 14:15:08,44.0787,-80.2041,15.01,91,75,11.9
178,Redcliffe,AU,2021-02-07 14:18:54,-27.2307,153.0973,80.6,78,40,5.75
179,Cape Town,ZA,2021-02-07 14:16:49,-33.9258,18.4232,75.99,46,0,26.46
180,Saldanha,ZA,2021-02-07 14:18:54,-33.0117,17.9442,75.2,46,1,25.32
181,Canutama,BR,2021-02-07 14:18:54,-6.5339,-64.3831,78.12,89,100,1.3
182,Lodja,CD,2021-02-07 14:18:54,-3.4833,23.4333,91.74,37,67,4.61
183,Shelbyville,US,2021-02-07 14:18:54,35.4834,-86.4603,33.01,100,90,11.5
184,Rio Gallegos,AR,2021-02-07 14:18:54,-51.6226,-69.2181,60.82,36,49,8.81
185,Mackay,AU,2021-02-07 14:16:38,-21.15,149.2,82.4,83,87,9.22
186,Sokoni,TZ,2021-02-07 14:18:54,-6.4333,39.55,89.6,74,75,11.5
187,Saint Anthony,US,2021-02-07 14:18:54,45.0205,-93.218,-13.0,69,1,5.75
188,Altamont,US,2021-02-07 14:18:55,42.2068,-121.7372,23.0,86,1,1.12
189,Bambanglipuro,ID,2021-02-07 14:18:55,-7.95,110.2833,77.56,89,100,4.9
190,Yarmouth,US,2021-02-07 14:18:55,41.7057,-70.2286,41.0,60,90,5.75
191,Port Moresby,PG,2021-02-07 14:18:55,-9.4431,147.1797,78.8,89,40,5.75
192,Belen,TR,2021-02-07 14:18:55,36.4891,36.2233,64.4,63,75,13.8
193,Madruga,CU,2021-02-07 14:18:55,22.9114,-81.8561,77.0,94,20,5.75
194,Ilulissat,GL,2021-02-07 14:18:55,69.2167,-51.1,23.0,46,0,35.68
195,Jizan,SA,2021-02-07 14:18:55,17.3333,42.6667,80.6,61,20,12.66
196,Bahile,PH,2021-02-07 14:18:56,9.9995,118.7878,77.05,86,69,3.62
197,Smithers,CA,2021-02-07 14:18:56,54.7804,-127.1743,10.4,92,90,2.3
198,Kajaani,FI,2021-02-07 14:18:56,64.2273,27.7285,19.4,79,90,6.91
199,Cangzhou,CN,2021-02-07 14:18:56,38.3167,116.8667,30.63,81,0,5.06
200,Panzhihua,CN,2021-02-07 14:18:56,26.5851,101.7128,50.0,58,100,4.41
201,Fowa,NG,2021-02-07 14:18:56,8.9167,6.4,105.42,7,93,3.13
202,Fairbanks,US,2021-02-07 14:17:06,64.8378,-147.7164,-9.4,84,1,2.73
203,Kawalu,ID,2021-02-07 14:18:56,-7.3817,108.2082,74.16,89,100,2.21
204,Pisco,PE,2021-02-07 14:18:56,-13.7,-76.2167,73.4,83,90,3.44
205,Sakakah,SA,2021-02-07 14:18:56,29.9697,40.2064,64.4,29,0,4.61
206,Alice Springs,AU,2021-02-07 14:18:56,-23.7,133.8833,81.0,27,74,5.75
207,Baruun-Urt,MN,2021-02-07 14:18:57,46.6806,113.2792,-2.52,86,0,8.19
208,Carman,CA,2021-02-07 14:18:57,49.4992,-98.0016,-25.6,68,0,8.05
209,Muros,ES,2021-02-07 14:18:57,42.7762,-9.0603,51.01,91,100,7.0
210,Jumla,NP,2021-02-07 14:18:57,29.2747,82.1838,35.94,62,0,7.56
211,Campos Altos,BR,2021-02-07 14:18:57,-19.6961,-46.1714,66.58,91,100,1.7
212,Manacapuru,BR,2021-02-07 14:18:57,-3.2997,-60.6206,82.4,78,75,5.75
213,Kupang,ID,2021-02-07 14:18:57,-10.1667,123.5833,79.56,82,100,5.53
214,Booue,GA,2021-02-07 14:18:57,-0.0921,11.9385,82.51,72,83,2.98
215,Jaciara,BR,2021-02-07 14:18:58,-15.9653,-54.9683,89.38,50,52,0.54
216,Tigzirt,DZ,2021-02-07 14:18:58,36.8886,4.1198,58.15,70,90,26.31
217,Purranque,CL,2021-02-07 14:18:58,-40.9167,-73.1667,68.0,46,0,3.44
218,Ponta Do Sol,PT,2021-02-07 14:18:58,32.6667,-17.1,64.99,66,100,5.99
219,Sur,OM,2021-02-07 14:18:58,22.5667,59.5289,70.16,63,0,10.69
220,Tezu,IN,2021-02-07 14:18:58,27.9167,96.1667,62.8,36,0,4.12
221,Bilma,NE,2021-02-07 14:18:58,18.6853,12.9164,85.8,11,52,16.04
222,Torbay,CA,2021-02-07 14:18:58,47.6666,-52.7314,33.01,55,40,46.04
223,Viamao,BR,2021-02-07 14:18:58,-30.0811,-51.0233,78.8,65,75,8.05
224,Pori,FI,2021-02-07 14:18:59,61.4833,21.7833,23.0,86,0,6.91
225,Severo-Kurilsk,RU,2021-02-07 14:18:59,50.6789,156.125,21.83,91,99,22.35
226,Marawi,PH,2021-02-07 14:18:59,7.9986,124.2928,75.99,94,100,1.01
227,Murree,PK,2021-02-07 14:18:59,33.9073,73.393,61.0,51,0,1.01
228,Chuy,UY,2021-02-07 14:18:59,-33.6971,-53.4616,75.31,59,0,5.61
229,Vizinga,RU,2021-02-07 14:18:59,61.0749,50.1031,-18.27,85,100,10.18
230,Xuanhua,CN,2021-02-07 14:18:59,40.6103,115.0447,24.15,73,0,4.68
231,Kloulklubed,PW,2021-02-07 14:18:59,7.0419,134.2556,77.0,94,90,10.36
232,Petropavlovsk-Kamchatskiy,RU,2021-02-07 14:19:00,53.0452,158.6483,23.0,86,75,6.71
233,Oussouye,SN,2021-02-07 14:19:00,12.485,-16.5469,87.8,27,0,6.91
234,Dawlatabad,AF,2021-02-07 14:19:00,36.4141,64.9053,58.39,46,62,4.88
235,Sibu,MY,2021-02-07 14:19:00,2.3,111.8167,75.2,94,40,4.61
236,Ippy,CF,2021-02-07 14:19:00,6.2679,21.2247,99.03,9,40,5.97
237,Ostrovnoy,RU,2021-02-07 14:19:00,68.0531,39.5131,7.66,87,100,12.15
238,San Quintin,MX,2021-02-07 14:19:00,30.4833,-115.95,55.71,75,0,4.45
239,Andenes,NO,2021-02-07 14:19:00,69.3143,16.1194,32.0,80,75,25.32
240,Amantea,IT,2021-02-07 14:19:01,39.1332,16.0746,62.6,72,75,19.57
241,Monopoli,IT,2021-02-07 14:19:01,40.9559,17.2896,62.01,88,75,21.85
242,San Jeronimo,PE,2021-02-07 14:19:01,-11.9472,-75.2829,56.39,59,100,1.68
243,Lahij,YE,2021-02-07 14:19:01,13.1667,44.5833,75.88,59,54,8.72
244,Oranjemund,NA,2021-02-07 14:19:01,-28.55,16.4333,70.29,71,14,25.37
245,Santa Rosalia,MX,2021-02-07 14:19:01,27.3167,-112.2833,53.53,50,0,2.59
246,Nemuro,JP,2021-02-07 14:18:24,43.3236,145.575,17.65,90,100,10.56
247,Rassvet,RU,2021-02-07 14:19:01,46.8333,40.75,26.04,78,100,8.03
248,Karratha,AU,2021-02-07 14:19:02,-20.7377,116.8463,80.01,65,0,11.23
249,Tilichiki,RU,2021-02-07 14:19:02,60.4667,166.1,12.99,93,100,14.83
250,Vardo,NO,2021-02-07 14:19:02,70.3705,31.1107,24.8,74,40,29.93
251,Yulara,AU,2021-02-07 14:19:02,-25.2406,130.9889,82.4,28,0,8.05
252,Zhigansk,RU,2021-02-07 14:19:02,66.7697,123.3711,-26.27,83,100,15.73
253,Barra Do Garcas,BR,2021-02-07 14:19:02,-15.89,-52.2567,76.66,85,100,2.21
254,Kyshtovka,RU,2021-02-07 14:19:03,56.555,76.6271,10.49,93,100,19.51
